project_id,state,district_code,project_type,land_type,land_area_acres,num_affected_families,num_departments_involved,notification_age_days,compensation_status,compensation_disbursed_pct,possession_status,legal_disputes_count,court_case_pending,rehabilitation_required,rehabilitation_progress_pct,stakeholder_responsiveness_score,historical_dept_performance_score,public_objections_count,pending_approvals_count,budget_utilization_pct,monsoon_season_overlap,is_delayed,delay_days
LAP-10026,Haryana,HAR-4,Irrigation,Tribal,36.6,3,2,1445,Fully Disbursed,86,Partial Possession,1,1,0,100,3.6,65.0,3,1,23.0,0,0,0
LAP-10027,Haryana,HAR-3,Power Transmission,Private Agricultural,13.0,251,2,839,Fully Disbursed,92,Not Started,0,0,1,83,3.9,64.7,5,8,91.3,0,0,0
LAP-10028,Madhya Pradesh,MAD-2,Highway,Private Agricultural,15.6,280,5,393,Fully Disbursed,90,Full Possession,0,0,1,45,5.4,56.2,1,3,68.1,0,0,0
LAP-10029,Karnataka,KAR-2,Irrigation,Private Agricultural,48.3,6,1,597,Fully Disbursed,90,Survey Complete,0,0,1,13,6.6,42.6,2,7,54.6,0,0,0
LAP-10030,Chhattisgarh,CHH-3,Railway,Mixed,13.8,2,2,335,Partially Disbursed,11,Survey Complete,0,0,1,35,6.8,68.4,3,7,86.3,0,0,0
LAP-10031,Bihar,BIH-4,Highway,Forest,15.4,79,6,657,Not Started,9,Not Started,0,0,1,10,4.2,56.0,1,7,53.6,1,1,167
LAP-10032,Maharashtra,MAH-2,Highway,Private Agricultural,7.9,53,3,179,Partially Disbursed,12,Award Declared,2,1,1,92,4.2,89.2,2,4,27.0,0,1,93
LAP-10033,Maharashtra,MAH-1,Highway,Private Agricultural,4.1,3,3,373,Partially Disbursed,54,Not Started,2,0,0,100,6.0,54.0,3,7,32.0,0,0,0
LAP-10034,Rajasthan,RAJ-2,Irrigation,Private Agricultural,49.4,82,5,529,Not Started,7,Partial Possession,1,0,1,73,6.0,64.1,1,7,22.4,1,0,0
LAP-10035,Tamil Nadu,TAM-4,Highway,Tribal,25.8,42,4,260,Not Started,6,Award Declared,1,0,1,5,8.1,80.5,2,5,63.6,0,0,0
LAP-10036,Rajasthan,RAJ-5,Power Transmission,Private Agricultural,31.2,42,1,1197,Partially Disbursed,40,Full Possession,0,0,0,100,6.5,37.2,1,0,25.9,0,0,0
LAP-10037,Karnataka,KAR-3,Industrial Corridor,Forest,1.3,87,6,861,Not Started,7,Partial Possession,0,0,1,87,9.7,53.3,4,5,100.0,0,0,0
LAP-10038,Rajasthan,RAJ-4,Irrigation,Private Agricultural,25.4,76,6,1156,Not Started,1,Survey Complete,1,1,0,100,6.2,46.1,1,4,40.4,1,1,210
LAP-10039,Tamil Nadu,TAM-5,Highway,Private Agricultural,19.2,48,3,462,Fully Disbursed,100,Full Possession,1,1,1,22,1.0,25.9,2,4,56.0,1,1,68
LAP-10040,Haryana,HAR-3,Irrigation,Tribal,20.9,367,4,1413,Not Started,2,Survey Complete,1,1,1,10,4.8,79.7,3,6,8.0,1,0,0
LAP-10041,Madhya Pradesh,MAD-1,Industrial Corridor,Government,20.4,89,5,1240,Not Started,4,Full Possession,0,0,0,100,6.6,71.8,1,7,76.6,0,0,0
LAP-10042,Uttar Pradesh,UTT-1,Irrigation,Government,35.5,1,3,226,Partially Disbursed,37,Not Started,1,1,0,100,5.0,100.0,2,1,29.9,0,0,0
LAP-10043,Jharkhand,JHA-2,Highway,Government,25.5,38,2,1184,Partially Disbursed,21,Survey Complete,1,1,0,100,6.9,69.3,1,0,64.4,1,0,0
LAP-10044,Telangana,TEL-5,Power Transmission,Government,14.4,155,5,551,Partially Disbursed,65,Award Declared,1,1,0,100,7.6,58.8,2,2,63.5,0,0,0
LAP-10045,Maharashtra,MAH-2,Railway,Private Agricultural,14.1,7,1,1130,Partially Disbursed,22,Survey Complete,0,0,1,28,6.6,68.2,4,6,54.9,0,1,80
LAP-10046,West Bengal,WES-3,Airport,Forest,13.3,143,6,1283,Not Started,8,Partial Possession,1,0,0,100,4.1,68.8,4,4,91.8,0,1,161
LAP-10047,Rajasthan,RAJ-2,Renewable Energy,Tribal,12.1,50,1,514,Fully Disbursed,88,Partial Possession,0,0,1,13,2.8,41.7,1,3,40.3,0,1,133
LAP-10048,Karnataka,KAR-3,Urban Development,Private Agricultural,4.5,119,6,246,Partially Disbursed,28,Partial Possession,3,1,0,100,7.9,84.8,2,3,27.6,0,0,0
LAP-10049,Telangana,TEL-6,Railway,Forest,18.2,13,3,344,Not Started,8,Not Started,0,0,0,100,4.0,69.0,0,0,49.1,1,0,0
LAP-10050,Gujarat,GUJ-3,Highway,Tribal,9.2,39,2,690,Not Started,8,Partial Possession,1,1,0,100,9.4,13.6,1,5,72.3,1,1,221
LAP-10051,Punjab,PUN-5,Highway,Forest,52.9,62,6,287,Fully Disbursed,98,Not Started,0,0,0,100,5.5,29.9,4,4,26.3,0,0,0
LAP-10052,Uttar Pradesh,UTT-2,Renewable Energy,Government,28.9,84,5,211,Not Started,5,Partial Possession,0,0,1,0,5.4,67.3,2,1,80.2,0,0,0
LAP-10053,Tamil Nadu,TAM-4,Highway,Forest,125.6,15,3,322,Partially Disbursed,23,Full Possession,1,1,0,100,6.6,77.7,3,1,20.5,1,0,0
LAP-10054,Bihar,BIH-6,Urban Development,Tribal,38.6,139,3,80,Partially Disbursed,34,Award Declared,1,0,1,95,6.2,66.5,1,5,70.5,1,0,0
LAP-10055,Rajasthan,RAJ-4,Irrigation,Private Agricultural,26.4,33,3,1206,Partially Disbursed,67,Award Declared,1,1,1,37,7.5,59.2,0,2,42.9,0,1,69
LAP-10056,Tamil Nadu,TAM-2,Renewable Energy,Mixed,50.2,111,6,93,Fully Disbursed,86,Award Declared,0,0,1,93,9.2,67.3,0,3,0.7,0,1,83
LAP-10057,Punjab,PUN-6,Irrigation,Government,29.6,32,6,660,Partially Disbursed,26,Full Possession,2,1,0,100,1.8,72.3,4,8,46.3,1,1,217
LAP-10058,Odisha,ODI-5,Highway,Government,4.8,227,6,875,Partially Disbursed,18,Partial Possession,0,0,0,100,6.6,28.2,1,4,28.1,0,0,0
LAP-10059,Odisha,ODI-3,Highway,Forest,483.9,42,6,549,Partially Disbursed,37,Award Declared,2,0,0,100,5.8,54.9,2,2,100.0,1,0,0
LAP-10060,Uttar Pradesh,UTT-6,Irrigation,Private Agricultural,67.2,6,4,443,Not Started,3,Full Possession,0,0,0,100,7.9,29.7,3,8,68.9,0,0,0
LAP-10061,Punjab,PUN-3,Industrial Corridor,Government,20.5,6,5,304,Not Started,3,Partial Possession,0,0,0,100,9.0,49.1,1,2,70.1,0,0,0
LAP-10062,Chhattisgarh,CHH-1,Highway,Private Agricultural,14.3,27,2,235,Fully Disbursed,93,Partial Possession,0,0,0,100,10.0,28.6,2,4,79.9,0,0,0
LAP-10063,Madhya Pradesh,MAD-1,Highway,Private Agricultural,29.9,18,4,255,Not Started,4,Not Started,1,1,1,53,5.8,51.2,3,4,64.0,0,0,0
LAP-10064,Karnataka,KAR-1,Power Transmission,Government,17.5,26,5,104,Fully Disbursed,96,Award Declared,2,1,0,100,7.9,45.5,2,7,56.0,0,0,0
LAP-10065,West Bengal,WES-5,Highway,Private Agricultural,24.2,3,2,1343,Not Started,5,Not Started,0,0,1,96,7.1,62.3,2,6,20.7,1,0,0
LAP-10066,Odisha,ODI-3,Industrial Corridor,Forest,16.6,14,1,371,Partially Disbursed,18,Award Declared,1,1,1,23,7.0,17.9,2,4,56.7,0,1,23
LAP-10067,Uttar Pradesh,UTT-6,Industrial Corridor,Forest,2.9,11,3,926,Fully Disbursed,93,Award Declared,0,0,1,79,1.7,72.3,2,5,100.0,1,0,0
LAP-10068,Haryana,HAR-5,Airport,Tribal,61.8,72,6,1127,Partially Disbursed,57,Survey Complete,1,1,1,75,4.8,52.7,2,0,74.3,0,0,0
LAP-10069,Punjab,PUN-1,Urban Development,Tribal,8.7,25,3,1447,Not Started,0,Survey Complete,2,0,1,43,6.1,80.6,1,1,51.2,0,0,0
LAP-10070,Madhya Pradesh,MAD-3,Irrigation,Private Agricultural,8.3,31,5,661,Fully Disbursed,95,Partial Possession,1,1,0,100,9.2,38.6,1,3,19.5,1,1,128
LAP-10071,Tamil Nadu,TAM-4,Railway,Private Agricultural,23.4,59,5,50,Partially Disbursed,79,Partial Possession,0,0,1,8,6.1,75.2,4,1,64.4,0,0,0
LAP-10072,West Bengal,WES-5,Highway,Tribal,80.9,6,6,670,Fully Disbursed,100,Partial Possession,1,1,1,75,6.1,57.6,4,6,45.4,0,0,0
LAP-10073,Punjab,PUN-3,Urban Development,Mixed,338.9,14,6,542,Partially Disbursed,15,Not Started,0,0,0,100,6.6,46.0,3,2,14.6,0,0,0
LAP-10074,Punjab,PUN-6,Railway,Forest,13.6,238,1,719,Not Started,0,Not Started,2,0,0,100,3.2,49.4,1,3,100.0,1,0,0
LAP-10075,Punjab,PUN-3,Urban Development,Forest,31.8,535,5,197,Partially Disbursed,33,Full Possession,2,1,0,100,6.3,48.3,1,2,81.2,1,0,0
LAP-10076,Madhya Pradesh,MAD-1,Highway,Tribal,13.7,59,1,70,Fully Disbursed,95,Award Declared,2,1,1,42,6.2,52.2,2,7,71.8,0,0,0
LAP-10077,Madhya Pradesh,MAD-2,Highway,Forest,12.4,24,6,859,Not Started,3,Partial Possession,1,1,0,100,4.7,38.9,2,5,76.1,0,1,121
LAP-10078,Uttar Pradesh,UTT-5,Irrigation,Government,84.1,77,6,745,Partially Disbursed,55,Not Started,1,0,0,100,8.4,82.2,1,6,80.4,1,0,0
LAP-10079,Odisha,ODI-5,Urban Development,Private Agricultural,17.1,45,1,1412,Not Started,4,Partial Possession,0,0,0,100,2.2,69.5,4,2,61.8,1,0,0
LAP-10080,Punjab,PUN-6,Power Transmission,Government,18.4,4,3,1400,Not Started,3,Survey Complete,0,0,0,100,4.2,55.5,2,7,65.4,0,0,0
LAP-10081,Gujarat,GUJ-3,Urban Development,Private Agricultural,12.9,55,3,295,Fully Disbursed,85,Partial Possession,1,1,1,23,6.5,54.0,0,0,37.7,1,1,27
LAP-10082,Uttar Pradesh,UTT-5,Highway,Tribal,33.7,65,3,829,Fully Disbursed,93,Not Started,0,0,0,100,4.8,36.1,3,6,14.3,1,0,0
LAP-10083,Odisha,ODI-3,Irrigation,Forest,7.6,69,1,790,Partially Disbursed,13,Award Declared,1,1,1,58,6.9,51.0,4,4,70.5,0,0,0
LAP-10084,Telangana,TEL-6,Power Transmission,Mixed,43.0,105,1,1276,Partially Disbursed,56,Award Declared,0,0,0,100,3.8,80.5,3,3,40.4,0,0,0
LAP-10085,Odisha,ODI-2,Irrigation,Mixed,101.8,10,6,1291,Partially Disbursed,73,Partial Possession,1,1,0,100,5.2,23.9,2,2,100.0,0,1,61
LAP-10086,Rajasthan,RAJ-6,Irrigation,Mixed,17.9,27,3,1329,Partially Disbursed,20,Partial Possession,0,0,0,100,5.8,51.4,2,1,57.6,0,0,0
LAP-10087,Punjab,PUN-1,Highway,Private Agricultural,42.0,67,5,1218,Partially Disbursed,49,Not Started,1,1,1,59,6.8,70.9,0,8,57.2,1,1,87
LAP-10088,Karnataka,KAR-5,Irrigation,Government,32.4,10,1,151,Not Started,9,Partial Possession,0,0,0,100,9.6,73.2,0,1,94.8,1,0,0
LAP-10089,Uttar Pradesh,UTT-4,Power Transmission,Government,10.3,63,3,1323,Fully Disbursed,92,Survey Complete,1,1,0,100,5.0,73.2,0,3,73.4,0,0,0
LAP-10090,Odisha,ODI-3,Irrigation,Private Agricultural,202.0,21,2,984,Fully Disbursed,94,Survey Complete,1,1,1,55,10.0,67.3,6,1,61.8,0,0,0
LAP-10091,Gujarat,GUJ-4,Highway,Mixed,19.8,36,6,175,Not Started,3,Survey Complete,0,0,0,100,6.1,16.9,1,0,64.7,1,0,0
LAP-10092,Odisha,ODI-6,Industrial Corridor,Government,12.3,95,1,1150,Fully Disbursed,87,Partial Possession,1,0,1,43,9.1,65.1,0,2,74.3,0,0,0
LAP-10093,Karnataka,KAR-4,Highway,Private Agricultural,37.7,99,6,993,Not Started,4,Award Declared,1,0,1,76,6.1,43.8,1,2,59.8,0,0,0
LAP-10094,Tamil Nadu,TAM-5,Railway,Mixed,16.2,80,4,1259,Not Started,9,Partial Possession,1,0,1,17,6.8,45.6,0,3,78.4,1,1,181
LAP-10095,West Bengal,WES-3,Airport,Private Agricultural,35.4,20,6,510,Partially Disbursed,45,Not Started,1,0,1,77,8.5,100.0,3,8,28.1,0,0,0
LAP-10096,Haryana,HAR-2,Urban Development,Private Agricultural,47.6,34,1,518,Partially Disbursed,17,Partial Possession,1,1,1,95,7.1,74.5,0,4,55.9,0,0,0
LAP-10097,Odisha,ODI-2,Irrigation,Private Agricultural,13.6,44,4,39,Partially Disbursed,29,Award Declared,2,1,0,100,8.0,85.8,0,3,55.3,0,0,0
LAP-10098,West Bengal,WES-6,Urban Development,Forest,27.0,21,6,794,Not Started,8,Survey Complete,2,1,0,100,9.2,41.5,0,4,52.7,1,0,0
LAP-10099,Jharkhand,JHA-1,Urban Development,Private Agricultural,42.2,25,5,123,Not Started,7,Partial Possession,2,1,1,9,6.7,64.9,3,2,58.5,1,1,181
LAP-10100,Haryana,HAR-3,Power Transmission,Private Agricultural,7.4,116,5,134,Not Started,3,Not Started,1,1,1,21,8.2,65.5,3,5,15.5,1,0,0
LAP-10101,West Bengal,WES-6,Urban Development,Private Agricultural,415.6,22,2,126,Not Started,0,Full Possession,0,0,1,77,5.0,98.7,2,3,75.7,1,0,0
LAP-10102,Maharashtra,MAH-4,Urban Development,Private Agricultural,38.3,797,3,789,Partially Disbursed,34,Survey Complete,0,0,1,30,1.6,89.4,0,4,32.4,1,1,77
LAP-10103,Telangana,TEL-2,Highway,Forest,62.1,322,6,524,Partially Disbursed,52,Award Declared,2,1,0,100,7.3,72.4,3,4,63.1,0,0,0
LAP-10104,West Bengal,WES-6,Irrigation,Government,397.5,322,6,593,Partially Disbursed,20,Full Possession,0,0,1,75,9.2,52.9,1,6,37.5,0,0,0
LAP-10105,Jharkhand,JHA-5,Industrial Corridor,Private Agricultural,52.1,26,1,887,Partially Disbursed,42,Full Possession,0,0,1,76,6.6,42.3,1,4,38.9,0,0,0
LAP-10106,Gujarat,GUJ-2,Renewable Energy,Forest,46.2,19,4,1169,Not Started,1,Full Possession,1,1,1,1,8.2,87.1,2,6,0.0,0,1,79
LAP-10107,Odisha,ODI-2,Irrigation,Mixed,24.1,486,6,172,Not Started,0,Partial Possession,1,1,0,100,6.6,79.9,4,3,75.5,0,0,0
LAP-10108,Punjab,PUN-6,Renewable Energy,Private Agricultural,15.7,104,4,1406,Partially Disbursed,58,Award Declared,0,0,1,46,3.5,33.7,1,8,35.6,1,1,134
LAP-10109,West Bengal,WES-3,Power Transmission,Mixed,9.0,57,1,814,Partially Disbursed,48,Not Started,2,1,1,81,6.2,77.0,1,4,60.7,0,1,213
LAP-10110,West Bengal,WES-4,Industrial Corridor,Forest,2.2,28,4,1043,Not Started,2,Not Started,3,1,0,100,4.8,94.1,2,4,40.3,0,1,25
LAP-10111,Haryana,HAR-6,Highway,Mixed,19.4,6,3,128,Not Started,3,Survey Complete,0,0,0,100,7.1,64.9,2,4,33.3,0,0,0
LAP-10112,Chhattisgarh,CHH-6,Power Transmission,Private Agricultural,17.2,140,5,1133,Not Started,1,Survey Complete,1,0,0,100,1.8,67.8,1,5,76.0,0,0,0
LAP-10113,Odisha,ODI-6,Power Transmission,Private Agricultural,85.4,17,1,642,Partially Disbursed,35,Survey Complete,0,0,1,29,6.4,58.5,2,5,89.3,1,0,0
LAP-10114,Madhya Pradesh,MAD-6,Airport,Private Agricultural,26.9,296,4,1384,Partially Disbursed,22,Full Possession,0,0,0,100,2.8,43.5,3,6,90.3,0,1,51
LAP-10115,Madhya Pradesh,MAD-3,Highway,Government,3.9,146,6,856,Partially Disbursed,47,Award Declared,1,0,0,100,4.6,46.3,1,0,51.1,0,0,0
LAP-10116,West Bengal,WES-2,Industrial Corridor,Mixed,23.1,54,2,364,Fully Disbursed,87,Partial Possession,0,0,0,100,7.3,48.3,3,0,51.1,1,0,0
LAP-10117,Tamil Nadu,TAM-5,Railway,Private Agricultural,29.3,255,6,1442,Partially Disbursed,49,Not Started,1,0,1,67,5.3,31.4,1,3,45.0,0,1,178
LAP-10118,West Bengal,WES-2,Irrigation,Private Agricultural,36.7,357,1,869,Not Started,3,Partial Possession,0,0,0,100,3.0,62.8,1,1,87.2,0,0,0
LAP-10119,West Bengal,WES-6,Renewable Energy,Tribal,70.1,98,4,794,Partially Disbursed,78,Survey Complete,0,0,0,100,6.4,56.5,2,0,52.2,0,0,0
LAP-10120,Karnataka,KAR-3,Urban Development,Government,27.8,66,3,188,Not Started,0,Survey Complete,1,1,0,100,5.7,96.8,0,3,25.8,0,0,0
LAP-10121,Tamil Nadu,TAM-4,Irrigation,Forest,18.9,1043,1,746,Not Started,4,Survey Complete,1,1,1,12,5.7,75.0,0,3,14.5,1,1,218
LAP-10122,Uttar Pradesh,UTT-5,Highway,Mixed,4.1,28,5,99,Not Started,4,Partial Possession,0,0,0,100,7.5,79.4,3,4,68.9,0,0,0
LAP-10123,Odisha,ODI-5,Highway,Government,79.2,86,2,127,Partially Disbursed,56,Award Declared,1,0,0,100,5.0,82.0,3,1,38.9,0,0,0
LAP-10124,Rajasthan,RAJ-4,Power Transmission,Private Agricultural,163.8,5,4,40,Not Started,0,Survey Complete,0,0,1,33,6.0,49.3,0,4,74.5,0,1,125
LAP-10125,Odisha,ODI-1,Highway,Private Agricultural,186.1,549,4,921,Fully Disbursed,91,Survey Complete,1,1,0,100,6.5,83.9,3,8,73.3,0,1,63
LAP-10126,Maharashtra,MAH-3,Highway,Private Agricultural,110.5,73,2,1067,Fully Disbursed,98,Partial Possession,0,0,1,16,7.3,44.3,3,8,56.6,0,0,0
LAP-10127,West Bengal,WES-5,Railway,Private Agricultural,2.1,11,1,209,Not Started,8,Award Declared,0,0,0,100,8.3,60.0,1,1,45.1,0,0,0
LAP-10128,Bihar,BIH-4,Railway,Mixed,11.8,24,1,1368,Partially Disbursed,18,Award Declared,0,0,0,100,3.2,80.4,2,2,55.5,0,0,0
LAP-10129,Jharkhand,JHA-2,Airport,Forest,36.3,563,5,1081,Not Started,6,Not Started,1,1,0,100,4.6,78.0,3,1,76.7,1,0,0
LAP-10130,Madhya Pradesh,MAD-3,Urban Development,Private Agricultural,15.8,22,2,808,Not Started,1,Survey Complete,2,1,0,100,8.3,36.6,1,3,0.0,0,0,0
LAP-10131,Odisha,ODI-3,Railway,Tribal,6.1,52,1,711,Not Started,7,Survey Complete,3,1,0,100,5.9,48.3,4,2,39.7,1,1,112
LAP-10132,Karnataka,KAR-4,Industrial Corridor,Forest,30.9,366,4,763,Partially Disbursed,70,Survey Complete,2,1,1,14,7.6,53.3,6,6,81.5,1,1,115
LAP-10133,Haryana,HAR-5,Railway,Private Agricultural,12.3,194,5,1379,Fully Disbursed,87,Full Possession,0,0,1,85,4.5,56.6,1,8,21.0,0,0,0
LAP-10134,Chhattisgarh,CHH-1,Railway,Forest,81.5,97,5,432,Not Started,3,Partial Possession,2,1,0,100,5.3,69.7,1,7,79.9,1,1,83
LAP-10135,Gujarat,GUJ-1,Power Transmission,Private Agricultural,17.3,224,3,766,Fully Disbursed,85,Partial Possession,0,0,1,60,10.0,43.1,5,1,54.8,0,0,0
LAP-10136,Odisha,ODI-2,Railway,Private Agricultural,13.8,31,3,478,Fully Disbursed,100,Partial Possession,1,1,1,14,9.7,37.3,5,1,81.3,1,0,0
LAP-10137,Jharkhand,JHA-5,Industrial Corridor,Private Agricultural,31.8,234,2,1409,Fully Disbursed,87,Survey Complete,0,0,1,24,3.5,66.7,2,4,61.1,0,0,0
LAP-10138,Haryana,HAR-6,Urban Development,Mixed,11.7,58,2,107,Not Started,9,Partial Possession,1,1,0,100,4.4,55.4,1,3,64.3,0,0,0
LAP-10139,Bihar,BIH-1,Renewable Energy,Forest,38.9,46,3,733,Partially Disbursed,18,Not Started,0,0,1,52,7.1,71.1,1,5,33.1,0,0,0
LAP-10140,Jharkhand,JHA-6,Irrigation,Tribal,25.6,138,4,195,Partially Disbursed,41,Award Declared,0,0,0,100,3.0,45.8,1,0,30.5,1,0,0
LAP-10141,Maharashtra,MAH-1,Highway,Tribal,6.7,47,2,1408,Partially Disbursed,22,Partial Possession,3,1,1,64,7.0,66.4,0,5,41.3,0,1,51
LAP-10142,Gujarat,GUJ-3,Urban Development,Government,286.4,181,1,1449,Fully Disbursed,98,Not Started,1,1,0,100,3.4,72.3,0,4,43.8,0,0,0
LAP-10143,Haryana,HAR-6,Industrial Corridor,Forest,55.4,162,2,1110,Not Started,0,Not Started,2,1,0,100,6.4,83.0,1,2,79.2,1,1,345
LAP-10144,Odisha,ODI-4,Airport,Private Agricultural,35.3,377,5,1235,Not Started,1,Partial Possession,1,0,1,50,5.2,21.7,0,0,2.3,0,0,0
LAP-10145,Rajasthan,RAJ-4,Urban Development,Private Agricultural,10.9,183,5,1297,Not Started,5,Partial Possession,1,1,0,100,4.8,72.4,1,6,58.8,0,0,0
LAP-10146,Gujarat,GUJ-1,Airport,Mixed,41.8,127,2,849,Partially Disbursed,80,Award Declared,0,0,1,40,7.7,56.8,2,6,14.8,0,1,157
LAP-10147,Tamil Nadu,TAM-6,Airport,Tribal,18.4,55,6,766,Not Started,7,Award Declared,0,0,1,13,3.8,27.4,1,0,74.6,0,0,0
LAP-10148,Haryana,HAR-3,Industrial Corridor,Private Agricultural,26.3,90,1,650,Partially Disbursed,23,Full Possession,0,0,1,15,4.0,63.3,0,5,0.0,1,1,27
LAP-10149,Bihar,BIH-3,Urban Development,Tribal,18.5,8,1,1042,Partially Disbursed,10,Full Possession,3,0,1,3,4.7,58.5,3,3,28.2,0,0,0
LAP-10150,Rajasthan,RAJ-5,Irrigation,Government,18.4,5,4,652,Fully Disbursed,94,Award Declared,2,1,0,100,5.3,93.4,1,2,54.0,0,0,0
LAP-10151,West Bengal,WES-4,Urban Development,Tribal,27.8,169,5,1352,Partially Disbursed,38,Partial Possession,2,0,0,100,7.1,97.5,6,0,57.5,0,1,116
LAP-10152,West Bengal,WES-6,Highway,Private Agricultural,15.4,176,3,734,Not Started,0,Not Started,2,1,1,23,5.5,75.4,2,2,20.5,0,1,19
LAP-10153,Karnataka,KAR-4,Irrigation,Government,81.9,105,6,754,Fully Disbursed,91,Partial Possession,1,1,0,100,8.6,77.5,2,4,57.2,1,0,0
LAP-10154,Rajasthan,RAJ-2,Irrigation,Tribal,23.4,182,1,124,Fully Disbursed,95,Partial Possession,3,0,1,40,7.1,39.3,1,2,81.9,0,0,0
LAP-10155,Uttar Pradesh,UTT-2,Railway,Private Agricultural,24.9,120,3,668,Not Started,9,Survey Complete,0,0,1,36,3.4,29.2,4,5,66.8,0,1,244
